org_name,ein,year,officer_comp,executive_director,title,source_url,notes
Fishtown Kensington Area Business Improvement District,844037072,2023,138196,,,,
Mayfair Business Improvement District,811075227,2016,0,,,,
Mayfair Business Improvement District,811075227,2017,49372,,,,
Mayfair Business Improvement District,811075227,2018,80481,,,,
Mayfair Business Improvement District,811075227,2019,81833,,,,
Mayfair Business Improvement District,811075227,2020,69936,,,,
Mayfair Business Improvement District,811075227,2021,81000,,,,
Mayfair Business Improvement District,811075227,2022,90583,,,,
Mayfair Business Improvement District,811075227,2023,86000,,,,
North Broad Business Improvement District,462240607,2013,,,,,
Northern Liberties Business Improvement District,823141998,2019,0,,,,
Northern Liberties Business Improvement District,823141998,2020,72797,,,,
Northern Liberties Business Improvement District,823141998,2021,75645,,,,
Northern Liberties Business Improvement District,823141998,2022,78145,,,,
Northern Liberties Business Improvement District,823141998,2023,86981,,,,
Port Richmond Industrial Development Enterprise,233059821,2011,0,,,,
Port Richmond Industrial Development Enterprise,233059821,2012,0,,,,
Port Richmond Industrial Development Enterprise,233059821,2013,0,,,,
Port Richmond Industrial Development Enterprise,233059821,2014,0,,,,
Port Richmond Industrial Development Enterprise,233059821,2015,0,,,,
Port Richmond Industrial Development Enterprise,233059821,2016,0,,,,
Port Richmond Industrial Development Enterprise,233059821,2017,0,,,,
Port Richmond Industrial Development Enterprise,233059821,2018,0,,,,
Port Richmond Industrial Development Enterprise,233059821,2019,0,,,,
Port Richmond Industrial Development Enterprise,233059821,2020,0,,,,
Port Richmond Industrial Development Enterprise,233059821,2021,0,,,,
Port Richmond Industrial Development Enterprise,233059821,2022,,,,,
Port Richmond Industrial Development Enterprise,233059821,2023,,,,,
Roxborough Development Corporation,232705347,2011,99691,,,,
Roxborough Development Corporation,232705347,2012,98554,,,,
Roxborough Development Corporation,232705347,2013,95972,,,,
Roxborough Development Corporation,232705347,2014,38140,,,,
Roxborough Development Corporation,232705347,2016,65000,,,,
Roxborough Development Corporation,232705347,2017,65000,,,,
Roxborough Development Corporation,232705347,2018,124824,,,,
Roxborough Development Corporation,232705347,2019,141253,,,,
Roxborough Development Corporation,232705347,2020,146719,,,,
Roxborough Development Corporation,232705347,2021,152908,,,,
